英文,中文
"Now that the company is using Convercent, though, problems that were previously hidden from executives who sat in offices cities or states away - such as discrimination, harassment or unfair wage practices - can be more quickly identified and addressed.",但现在该公司使用 Convercent，就能更快地发现和解决之前位于远距离办公室、城市或州的高管所不知道的问题 - 如歧视、骚扰或不公平的工资行为。
"Next, they will also carry out voluntary cleaning in housing estates or speak about environmental protection in the homes of residents. According to the introduction, these activities, themed “Build hygienic cities - Pitch in your family”, will be continue until June 20.",接下来，他们还将在小区里义务开展清洁劳动，或者走进住户家里去宣讲环保。据介绍，此次活动的主题为“创卫·携手家庭齐上阵”，活动即日起到6月20日截止。
"""It's mind boggling that all of these years, not a single person has been arrested - even though we see them in our communities; even though we know who they are,"" said Tyrone Brooks, who helps organize the reenactment.",“虽然我们知道他们是谁，尽管我们在社区中看到过他们，但这些年来，他们没有一个人遭发逮捕，这着实令人难以置信，”帮助组织这次重演的蒂龙·布鲁克斯说道。
The survey of more than 1000 people - which was conducted by a jet-chartering service Stratos Jet Charters Inc. - also found that younger travellers were more likely to flout the rules.,这项针对超过 1000 人的调查由包机服务公司 Stratos Jet Charters Inc. 进行，调查还发现，年轻旅行者更可能公然无视规定。
"Other stories are rooted firmly in the history of the castle - such as The Priest, which tells the tale of the Jesuit priest whom the Darrell family hid for seven years during the English Reformation.",其他的故事深深植根于城堡的历史， 例如《牧师》 (The Priest) ，它讲述了达雷尔家族在英国宗教改革时期隐匿一名耶稣会牧师达七年之久的故事。
"As you walk along, you will see benches, paved pathways, bridges, riverside decks, sand pits for children to play in, and other amenities. These help integrate the green landscape and water sights into one, offering residents another place for leisure, fitness and entertainment.",行走中可以发现，岸边还修建了座椅、甬道、小桥、亲水平台和供儿童嬉戏的沙池等，使两岸绿化景观和水系融为一体，为市民提供了又一处休闲、健身及娱乐好去处。
Rules aimed at preventing unfettered spending by European soccer clubs will not disrupt Neymar's world-record transfer from Spain's Barcelona to France's Paris-Saint Germain.,旨在防止欧洲豪门足球俱乐部不受限制支出的规则并不会阻碍内马尔以创记录的价格从西班牙的巴塞罗那俱乐部转会到法国的巴黎圣日尔曼足球俱乐部 (PSG) 。
"Chris O'Hare, who runs in the 1500m, is another Scot to watch, following a great season that included victory at the British Team trials and the Anniversary Games.",参加 1500 米项目比赛的克里斯?奥黑尔则是另一位值得关注的苏格兰选手，之前，她在赛季取得了很好的成绩，分别在英国国家对预选赛和奥运周年赛中获胜。
President Gjorge Ivanov has said he will not be voting in the referendum and a boycott campaign has cast doubts on whether turnout will meet the minimum 50 percent required for the referendum to be valid.,总统格奥尔基·伊万诺夫 (Gjorge Ivanov) 表示，他不会参与公投，并且抵制活动令人怀疑投票结果是否会满足使公投生效的最低投票率 50%。
"A strange statistic by one of the greatest players of all-time, having won 14 major titles second to only Jack Nicklaus.",对于这位有史以来最伟大的选手，这串统计数据有些奇怪，因为他可谓仅次于杰克·尼克劳斯 (Jack Nicklaus)，赢得过 14 次重要比赛的冠军。
The two-time bronze Olympic medallist has become a high-profile LGBT campaigner and used his appearance at this year's Commonwealth Games in Australia to appeal for more countries to decriminalise homosexuality.,Daley 已经赢得了两次奥运会铜牌，现在成为了一名备受瞩目的 LGBT 活动家，并在今年的澳大利亚英联邦运动会上出面，呼吁更多国家将同性恋合法化。
"The poll showed more support for a run by former Governor Deval Patrick, with 38 percent supporting a potential run and 48 percent against it.",民意调查显示，大多数选民支持前州长德瓦尔·帕特里克 (Deval Patrick) 参选，其中 38% 的选民支持其参选，48% 的选民反对其参选。
"English is whisked back to Whitehall for an emergency briefing and reunited with his former long-suffering sidekick Bough, played again by Ben Miller.",英格利士被迅速带回白厅，参加一次紧急情况发布会，并与吃了不少苦头的老朋友博夫 (Bough)（再次由本?米勒 (Ben Miller) 饰演）重聚。
"Sadly today, it is not the tone of many meetings and the promise of ""kinder, gentler"" politics has long been forgotten if, indeed, it ever began.","不幸的是，如今，这已经不再是诸多会议的基调，人们早已经忘了“向善，温和” (kinder, gentler) 的政治诺言，甚至似乎都未曾开始践行过。"
"Dyteon Simpson, 20, has been arrested and booked into prison on a second-degree murder charge, the Baton Rouge Police Department said.",巴吞鲁日警察局 (Baton Rouge Police Department) 称，20 岁的 Dyteon Simpson 因二级谋杀罪被捕入狱。
"""My view is that if Britain crashes out of the EU at the end of March we will see production stops in our factory,"" said Marvin Cooke, Toyota's managing director at Burnaston.",“我的观点是，如果英国在 3 月底退出欧盟，我们的工厂将停止生产”，丰田公司伯纳斯顿工厂董事总经理马文·库克 (Marvin Cooke) 介绍道。
Willoughby is to become a brand ambassador for M&S and will replace Ant McPartlin as host of ITV's I'm A Celebrity.,威洛比将成为 M＆S 的品牌代言人，并将取代 Ant McPartlin 成为 ITV 的“我是名人 (I'm A Celebrity)”的主持人。
Kavanaugh emotionally denied allegations that he had sexually assaulted Dr. Christine Blasey Ford when they were both teenagers.,卡瓦诺情绪失控，针对克里斯汀·布莱西·福特 (Christine Blasey Ford) 博士所提出的控告，他称自己年少时没有性侵过年少时的福特。
Sharon Davis and Kelly Humphreys have been posting cards on a Welsh bridge with inspirational messages and phone numbers that people can call for support.,Sharon Davis 和 Kelly Humphreys 一直在威尔士桥上张贴卡片，卡片上写着激励的文字，还有电话号码，方便有需要的人获得支持。
Doyle is Scotland's most decorated track and field athlete and chairman Ian Beattie described the move as a great opportunity for those guiding the sport to benefit from her wide-ranging experience at international level over the past decade.,道尔是苏格兰获得殊荣最多的田径运动员，委员会主席伊恩·贝蒂 (Ian Beattie) 称此举是田径运动教练员们向国际水平的丰富经验取经的大好机会。
"Pelosi made the comments in an interview Saturday at the Texas Tribune Festival in Austin, Texas.",佩洛西在周六于德克萨斯州奥斯汀 (Austin) 举办的得克萨斯论坛 (Texas Tribune Festival ) 上接受采访时，这样评价道。
"""Without any trust in the US, there will be no confidence in our national security and under such circumstances, there is no way we will unilaterally disarm ourselves first,"" Mr Ri said in a speech to the UN General Assembly in New York.",“如果美国不值得信赖，那我们就无法确保本国安全能够得到保障，因此我们绝对不可能单方面解除核武器”，李勇浩在纽约举行的联合国大会上发表讲话这样介绍道。
"What has played out at St. Martin's over the last few months has been a complicated tale of architects and contractors, some brought in by the lay leaders of the church, others by the Episcopal diocese.",过去几个月圣马丁教堂发生的事情是一个有关建筑师和承包商的复杂故事，这些建筑师和承包商的其中一些是由教堂的俗世领导人带来的，另一些是由主教教区带来的。
"The English forward used his first touch in the box to give the ball back to Aguero, who used his right boot to beat Brighton keeper Mathew Ryan with a shot into the right side of the net.",这位英国前锋利用他在禁区内的第一次触球将球传回给阿奎罗，阿奎罗用右脚射门将球射入球门右侧，击倒了布莱顿队门将马修·瑞安 (Mathew Ryan)。
"Indonesia's President Joko Widodo arrived in Palu on Sunday and told the country's military: ""I am asking all of you to work day and night to complete every tasks related to the evacuation.",据 CNN 报道，印尼总统佐科·维多多 (Joko Widodo) 于周日抵达巴鲁，向印尼军队发表讲话：“我命令你们不舍昼夜地完成所有撤离相关任务。
"Rose played Ygritte, the love interest of Kit's character Jon Snow, in the Emmy award-winning fantasy series.",在《权力的游戏》中，Rose 扮演的是 Kit 所饰演的角色 Jon Snow 的恋人 Ygritte。《权力的游戏》斩获了艾美奖剧情类最佳剧集奖。
"""A cover-up? Think about that for a moment,"" Sekulow said on ""Fox & Friends"" Friday. ""The White House secured a call with the president of Ukraine? It's so secret and such a cover-up, here's the documents. This is nonsense.""",“这是掩盖？好好想一想，塞库洛星期五在《福克斯与朋友》节目中说。“白宫不该保护与乌克兰总统的通话吗？这是秘密且不该掩盖吗，这是文件。简直胡说八道。”
"In another case of compelled supermarket nudity this week, a British man, Steve Whitehurst, was forced to expose himself to security guards after they spotted a mysterious ""bulge"" in his pants. He hadn't stolen anything.",本周，还有一名英国人史蒂夫·怀特赫斯特被迫在超市裸露身体，因为超市发现他裤子上有不明“鼓胀物”，所以他不得不向保安暴露自己。事实证明他根本没偷东西。
"Scientists are expressing surprise after discovering a solar system 30 light-years away from Earth that defies current understanding about planet formation, with a large Jupiter-like planet orbiting a diminutive star known as a red dwarf.",科学家发现在距离地球 30 光年的一个类太阳系星系中，一颗巨大的类木行星围绕着微小的红矮星运行，这完全颠覆了现有的行星形成理论，科学家对此十分惊讶。
"President Donald Trump slammed Iran's alleged role in the attacks on Saudi oil facilities, telling world leaders at the U.N. General Assembly on Tuesday that they should pressure Tehran into diplomatic talks.",联合国世界首脑表示，唐纳德·特朗普总统抨击了伊朗在袭击沙特石油设施中所扮演的角色。联合国大会在星期二表示，他们应该向德黑兰施压，促使其参与外交谈判。
"The test works by detecting antibodies, the body's natural defenders against infection. If one is infected with HIV, these antibodies will be present in your blood and also in the salivia. The test will detect the antibodies in the mouth.",试剂盒是通过检测抗体（人体抵抗感染的天然卫士）实现的。如果人体感染了艾滋病毒，则病毒的抗体就会存在于血液和唾液中。该试剂盒的检测对象是口腔中的抗体。
"""I don't care what else I've done in my life ― I won an Emmy, I won an Oscar, two Tonys ― but if I mess this up, this'll be the defining moment in my life,"" she told host Kimmel.",她跟主持人坎摩尔说道：“我不在乎我这辈子已取得的成就，我得过一次艾美奖、一次奥斯卡奖、两次托尼奖，但如果我这次搞砸了，那将是我一生中的决定性时刻。”
"Geomagnetic disturbances are expected from September 27 to September 29, according to the US National Atmospheric and Oceanic Research Agency's Space Weather Forecast Center. Moderate geomagnetic storm (G2) is possible due to high-speed solar wind",据美国国家大气和海洋研究机构的太空天气预报中心称，预计 9 月 27 日至 9 月 29 日将发生地磁扰动。高速太阳风可能导致中等地磁风暴 (G2)
"Nearly half of the officials retired were those who were arrested by the CBI for allegedly receiving illegal gratification. One of them was caught accepting a bribe of Rs 15,000. One official is accused of having assets disproportionate to his known source of income.","近一半的退休官员是那些因涉嫌收受非法好处而被印度中央调查局逮捕的人。其中一人因受贿 15,000 卢比而被抓捕。一名官员被指控拥巨额资产来源不明罪。"
"Meanwhile, Kansas-based AMC Theatres, the largest chain in the country, reiterated its ban on ""masks, face paint or any object that conceals the face,"" but said they will welcome viewers in costume.",与此同时，全美最大的连锁电影院、总部位于堪萨斯州的美国多厅式影院重申，影院禁止“面具、彩绘人脸或任何遮挡面部的物体”，但表示欢迎穿着戏服的观众观影。
"A Prison Service spokeswoman said: ""HMP Wandsworth has increased security at the gate and is operating extra identity checks as a result of a security incident. It would be inappropriate to comment further while a police investigation is ongoing.""",监狱管理局发言人表示：“女王陛下监狱旺兹沃斯已经提升大门的安全级别，由于一次安全事故目前正在进行特别身份核查。警方开展调查期间，不便发表更多评论。”
"However, students said that this year behaviour of some students went too far, particularly during a game which involved members of the football club being dared by their teammates to make advances on women, while their friends attempt to ""intercept"" them.",然而，据学生们反应，今年一些学生的行为非常过火，尤其在一场比赛期间，足球俱乐部的成员被他们的队友挑衅去挑逗女性，而他们的朋友试图“阻止”他们这样做。
"And the more I thought of it, the more I realized it was clearly not the digital information that was the bad guy here, it was simply the display position that was separating me from my friend and that was binding those kids together.",随着我更加深入地思考， 我越来越意识到 很明显这里的问题 不是电子信息， 而仅仅是展现信息的位置 把我和我的朋友隔开了， 却使这些孩子团聚在了一起。
"I can trace the whole drama of my life back to that night in that church when my savior did not come for me; when the thing I believed most certainly turned out to be, if not a lie, then not quite the truth.",我人生中所有的戏剧性故事， 都可以追溯回教堂里那一晚， 那时我的救世主没有到来； 我无比确信的事物， 如果不叫作“谎言”的话， 至少也不是什么真理。
"It stems from a fundamental contradiction in Europe's asylum policy, which is the following: that in order to seek asylum in Europe, you have to arrive spontaneously by embarking on those dangerous journeys that I described.",这起源于欧洲避难政策的一个根本矛盾之处 如下： 为了在欧洲寻求避难 你必须要自行到达欧洲 经过一段我之前描述的危险的旅程 但是为什么这些旅程是必要的
"So it was standing room only when my teammate Jackie Barrett, the Newfoundland Moose, deadlifted 655 pounds and lifted 611 pounds in the squat -- setting huge new records for Special Olympics.",当我的队友杰基·巴雷特上场时，人们都站了起来 他被称为纽芬兰驼鹿 他硬拉起来665磅 并且蹲起举起了611磅  为特殊奥林匹克运动会传下了多项新纪录
"However, Judge Lawrence Moniz said he did not find that her ""age or level of maturity or even her mental illness have any significant impact on her actions.""",然而，劳伦斯?莫尼斯 (Lawrence Moniz) 法官说，他并没有发现她的“年龄或成熟程度，乃至她的精神疾病会对她的行为产生任何重大影响。”
"After waiting for a year and a half, Jay Chou finally arrived in Beijing to present his first works since becoming a father. It was also the 14th album in his music career, “Jay Chou’s Bedtime Stories”.",让大家等待了整整一年半之后，昨天周杰伦终于来到北京，为人们献上这张他升级人父后的首份作品，同时也是他音乐生涯中的第14张专辑《周杰伦的睡前故事》。
Russian Deputy Prime Minister Vitaly Mutko has said it will not take long to implement the remaining World Anti-Doping Agency (WADA) criteria for the reinstatement of the Russian Anti-Doping Agency (RUSADA).,俄罗斯副总理维塔利·穆特科表示，落实世界反兴奋剂机构 (WADA) 针对恢复俄罗斯反兴奋剂机构 (RUSADA) 权利的剩余标准不会花费过长时间。
"In an artist statement written on the gallery's wall, Manning's super-sized signature below it (the ""i"" in her last name dotted with a heart), called for an end to the ""automatic factionalism that gender, race, sexuality, and culture have been the basis of.""",在画廊墙上写下的艺术家声明中，曼宁的超大号签名在下面 (名字中的“i”用一颗心来画出来) ，呼吁结束“以性别、性取向和文化为基础的党派之争乱像。”
"Arsenal manager Arsene Wenger, whose club is owned by an American sports tycoon, shares La Liga's reservations about a state funding a club.",阿森纳球队（该俱乐部的所有人为美国体育大亨）主教练阿尔塞纳?温格 (Arsene Wenger) ，对国家资助俱乐部的态度与西甲联赛均持保留意见。
"Rhodes spent his days exploring the Victorian ""new"" castle, going through the archives and studying the manor's many treasures and curios, such as the mounted hyena heads on the walls and bottles that had spent centuries in the moat.",罗兹耗费了数天时间参观浏览维多利亚的“新”城堡，翻阅档案、研究庄园的许多宝藏和古玩，比如挂在墙上的鬣狗头，以及在护城河中度过了几个世纪的瓶子等等。
"“1 billion parcels per day can be achieved in less than eight years; probably in about six to seven years,” said Alibaba Chairman Jack Ma yesterday at the “2017 Global Smart Logistics Summit” held in Yuqi township, Hangzhou.",“一天十亿只包裹，不会超过八年，估计在六七年左右就能实现。”在昨日杭州云栖小镇举行的“2017全球智慧物流峰会”上，阿里巴巴董事局主席马云如是说。
"In the last two years, the planting acreage of Xiaoshan’s flowering trees and shrubs have expanded by 30,000 mu, with total area at 180,000 mu. At the same time, expansion is being actively carried out outside the region. Xiaoshan’s farmers have been setting up flowering tree and shrub bases totaling 80,000 mu across the country, an increase of 30,000 mu from that in 2008.",近两年萧山花木种植面积扩大了3万亩，总面积达到了18万亩；同时积极向区外发展，萧山苗农在全国各地建立花木基地达到8万亩，比2008年增加了3万亩。
"Barcelona are known to be furious with the manner of the approach and the way that Neymar has forced his way out, despite a source close to the Catalans' board insisting that the club have always done their best to look after him since his arrival from Santos in 2013.",巴塞罗那对于内马尔的进攻方式以及闯出出路感到愤怒，了解加泰罗尼亚队董事会的消息人士坚持说，2013 年他从桑托斯抵达后，俱乐部一直竭尽全力关照他。
When newspaper Svenska Dagbladet investigated the 581 results released however it found that in 243 of the cases the person had openly stated that they turn 18 this year.,新闻报纸 Svenska Dagbladet 调查了此次公布的 581 例测试结果，发现其中 243 例受试者已公开表示他们今年会年满 18 岁。
The 25th Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting was held in the central Vietnam city of Da Nang from the 10th to 11th. The progress of the Free Trade Area of the Asia-Pacific (FTAAP) will be one of the highlights of this meeting.,亚太经合组织（ＡＰＥＣ）第二十五次领导人非正式会议将于１０日至１１日在越南中部城市岘港举行，亚太自贸区（ＦＴＡＡＰ）进程是此次会议讨论的热点之一。
"It is understood that the participating Chinese representatives mainly comprised those from China Recycling Development Corporation Ltd and International Technology Transfer Network, while the Italian representatives included those from the Global Energy Environmental Exchange Organization, federation of businesses of the greater Bologna region, and other entities.",据悉，中方参会代表主要有中国再生资源开发有限公司、中国国际技术转移协作网络，意方则由全球能源环境交流组织、意大利博洛尼亚大区企业联合会等机构组成。
"Vice President Mike Pence is now slated to address the conference, now scheduled for mid-October, in a signal of the import the administration places on the gathering, the diplomats said.",副总统迈克·彭斯 (Mike Pence) 目前计划在预计于十月中旬举行的会议上发表讲话，外交官们表示，这是政府当局对此次会议提起重视的一个信号。
"In 1987, when Mr. Hart was caught in an extramarital affair aboard a boat called Monkey Business and bowed out of the race, Ms. Schroeder, deeply frustrated, figured there was no reason she shouldn't explore the idea of running for president herself.",1987 年，哈特因在一艘名为“Monkey 商务晚餐船”的船上卷入一场婚外情而退出竞选，施罗德十分沮丧，认为自己应该亲自实践竞选总统的这一想法。
"At 6am, just as Gegard Mousasi and Rory MacDonald were preparing to face each other, viewers in the UK were left stunned when the coverage changed to Peppa Pig.",早上 6 点，就在 Gegard Mousasi 和 Rory MacDonald 准备对决之时，频道内容却改为了《小猪佩奇》，英国观众大为震惊。
They added that moving children to the tent city without providing enough time to prepare them emotionally or to say goodbye to friends could compound trauma that many are already struggling with.,他们补充说，在儿童没有足够的时间在情感上做好准备，也没有足够的时间和朋友们道别的情况下，将儿童转移到帐篷城，可能会加重很多儿童本就已经遭受的创伤。
"Prime Minister Theresa May accused critics of her plans to leave the European Union of ""playing politics"" with Britain's future and undermining the national interest in an interview with the Sunday Times newspaper.",英国首相特雷莎·梅 (Theresa May) 在接受《星期日泰晤士报》采访时，指责其脱欧计划的评论家们对英国的未来“玩政治游戏”，损害国家利益。
"A White House spokesman for Mr. Bolton declined to comment on the details of the debate that were described by the three American officials, including two diplomats, who agreed to discuss the internal deliberations on the condition of anonymity.",博尔顿 (Bolton) 的一位白宫发言人拒绝就这三位美国官员（其中包括两名外交官，他们同意以匿名为条件讨论此次内部审议）所述的辩论细节发表评论。
"Feinstein was sent the letter detailing the allegations against Kavanaugh by Ford back in July, and it was leaked earlier in September - but Feinstein denied that the leak came from her office.",7 月份，范斯坦收到了福特寄回的详细描述对卡瓦诺的指控的信件，而该信件于 9 月初遭到泄漏 - 但是范斯坦否认她的办公室导致了此次泄漏事件的发生。
"The method involves extracting immune cells from a patient, altering them in the laboratory so they can ""see"" a protein common to many cancers called HER2, and then reinjecting the cells.",这种方法需要从患者体内提取免疫细胞，然后在实验室对其进行更改，使其能够“发现”多种癌症所常见的一种叫作 HER2 的蛋白质，然后将其重新注入体内。
Three-times major winner Jordan Spieth and Justin Thomas set the benchmark for the Americans with two points on Saturday.,三次大满贯得主乔丹·斯皮思 (Jordan Spieth) 和贾斯汀·托马斯 (Justin Thomas) 周六以两分为美国队打下了良好的基础。
"His comments drew boos at least twice from the audience and SNL cast members appeared to be embarrassed, Variety reported, with one person there telling the publication: ""The entire studio fell dead silent.""",据《Variety》报道，他的点评至少两次引发了观众的嘘声，SNL 演艺人员似乎感觉很尴尬，其中一人告诉本报记者：“整个演播室陷入死一般的沉默。”
"Earlier this year, Hans-Peter Bartels, chief of the German parliament's defense committee, acknowledged the Navy is actually ""running out of deployment-capable ships.""",今年年初，德国议会国防委员会主席汉斯-皮特·巴特尔斯 (Hans-Peter Bartels) 承认，德国海军实际上“已经没有可以部署的舰船了”。
"In one section there is an image of a dorm room, where students click on coffee cups, curtains, trainers and books to be told about the effects of caffeine and light and how athletic performance is impacted by sleep deficiency, and the importance of a bedtime routine.",有一节课程中，展示了一张宿舍图片，学生们敲着咖啡杯、窗帘，培训课本和书籍，在听着咖啡因和光的影响，睡眠不足对运动表现的影响，以及睡前活动的重要性。
"The EU is good at setting rules and red lines and sticking to them; it's less good at unilaterally imposing its will. The UK is hemmed in by its own internal contradictions, at least until an election or a second referendum breaks the impasse.",欧盟擅长制定规则、划定“红线”并坚持执行，但单方面施加其意愿却是短板。至少在英国大选或第二次全民公投打破僵局之前，英国对自身的内部矛盾已自顾不暇。
"Over time, ""incel"" has become a buzzword for certain men infuriated at being rejected by women and prone to float ideas for violent payback, according to sociologists and others who study them.",社会学家和研究这一群体的其他学者认为，“非自愿独身者”已逐渐成为激怒某些男性的流行语，这些男性因遭到女性的拒绝而愤怒，并倾向于产生暴力报复的想法。
Thomas Cook was founded in 1841 by a 32-year-old cabinet-maker and former Baptist preacher who began offering one-day rail excursions from Leicester to Loughborough for a shilling.,托马斯·库克由一位 32 岁的家具木匠，前浸礼会传教士于 1841 年创建，他以推出从莱斯特到拉夫堡的一天火车旅行起家，该旅游项目每人只需一先令。
"Convener Jenny Marra said: ""Dog law in Scotland is not fit for purpose. There are still far too many dog attacks on children and little enforcement or understanding of the current laws that might prevent these attacks.",委员会负责人珍妮·马拉表示：“苏格兰养狗法与目的不切合。针对儿童的狗袭击事件仍然有很多，但是可能阻止这些袭击的现行法律却几乎从未被执行或被人了解。
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.",现为房地产开发商兼武术/舞蹈连锁店所有者的马特·菲德斯向《大都市报》爆料称，杰克逊认为，如果他不再是公众眼中的“谜”，对他个人的迷恋就会戛然而止。
"The plan failed to gain cross-party support at the time, but senior figures in the SNP are concerned that Mr Johnson could defy a law forcing him to delay Brexit if there is no deal in place before 19 October.",该计划当时未能获得跨党派 的支持，但苏格兰民族党高层担心，如果在 10 月 19 日之前未达成任何协议，约翰逊先生会无视法律，迫使他推迟英国退欧。
"They also acknowledged that service members are reluctant to come forward and seek help, because they worry that it could affect promotions or security clearances. And military leaders said they must all work harder to address those perceived roadblocks.",他们也承认，服役人员不愿主动寻求帮助，因为他们担心这会影响升职或安全检查。军方领导人表示，他们都必须更加刻苦努力，去解决那些被视为阻碍发展的问题。
"The whistleblower complaint, which was declassified by the Trump administration and released to the public on Thursday by the House Intelligence Committee, alleges that White House officials said they were ""directed"" by White House attorneys to remove the transcript of the call from the computer system where they are normally kept.",特朗普政府解密举报人投诉并于星期四由众议院情报委员会向公众公布，该投诉称，白宫官员说他们受白宫律师“指示”从通常存放电话的电脑系统中删除通话记录。
"The oral HIV test kit dubbed, OraQuick HIV self-test, a product of Orasure technologies, targets young people aged 18 to 24 years, men and priority populations such as sex workers.",Orasure 科技公司生产的 OraQuick 艾滋病毒口腔自检试剂盒，专门针对 18 至 24 岁的年轻人、成年男性和性工作者等易感人群设计。
"He took refuge there in 2012 while on bail and facing extradition to Sweden over sex assault allegations, saying he feared extradition to the US if he left over the activities of WikiLeaks.",2012 年，保释期间阿桑奇进入厄瓜多尔驻英大使馆避难，因性侵指控面临被引渡到瑞典的风险；阿桑奇表示，如果放弃维基解密活动，担心他会被引渡到美国。
"Crude oil is tested before export to make sure it complies with the standards of the refinery it is being shipped to. Crude oil from different fields can be identified according to a series of chemical signatures, including levels of sulfur and nitrogen, acidity and viscosity.",通常原油出口前要进行检验，保证其符合接收该原油的炼油厂的标准。不同油田出产的原油可以根据一系列化学成分加以识别，包括硫含量、氮含量、酸度以及粘度。
"Pelosi met earlier this year with Van Ness and three of his ""Queer Eye"" co-stars as well as Rep. Alexandria Ocasio-Cortez (D-N.Y.), to talk policy and promote the bill.",今年初，佩洛西与范·内斯和其他三位《粉雄救兵》联合主演以及众议员亚历山大·奥卡西奥·科尔特斯（纽约民主党人）进行了会谈，讨论了政策并推动了该法案。
"The findings, from the the largest ever trial examining those having surgery for the disease, could spare thousands from gruelling treatment which can have distressing side-effects.",对接受手术治疗的患者进行检查，这是迄今为止最大的一次实验，实验结果可能会让成千上万的患者免于备受折磨的治疗，这种治疗还可能会产生令人痛苦的副作用。
"The Fridays for Future movement that began as a lone demonstration by Swedish teen Greta Thunbergjust over a year ago has mushroomed, with millions of students taking to the streets of cities like New Yorkand attracting attention in developing nations across Africa.",一年多前，瑞典青少年格雷塔·桑伯格独自发起的“未来星期五运动”如雨后春笋般涌现，数以百万计的学生走上纽约等城市的街道，吸引了非洲发展中国家的注意。
"Thomas Cook's liquidation brought to an end 178 years of solvent trading, prompting the launch of inquiries by the government's Insolvency Service, the accounting watchdog and an influential committee of MPs.",托马斯·库克的破产结束了其长达 178 年的有偿付能力的交易，促使政府破产服务机构、会计监管机构和一个有影响力的议员委员会对托马斯·库克发起调查。
"""The Undergraduate Awards are fiercely contested by thousands of students around the world and it is a great reflection of the quality of our students, and the education they receive here, that Dundee is so strongly represented amongst the prize winners.",“世界各地数以千计的学生都在激励争夺本科生奖，邓迪大学的学生在这些获奖者中颇具代表性，这也很好地反映了我校学生的素质以及他们在这里获得的教育水准。
"""Giving compensation without an investigation or criminal accountability for the perpetrator is not true redress nor will it effectively prevent torture,"" said Frances Eve, deputy director of research at CHRD.",“不彻查事情真相，也不追究当事人的刑事责任，只是给予补偿金，这样不能真正洗雪受害人的冤屈，也不能有效防止酷刑”CHRD 研究主管弗朗西斯·伊芙称。
"The study, funded by Cancer Research UK, found those who had radiotherapy were twice as likely to suffer a worsening of urinary incontinence, one of the main side effects of prostate cancer treatment.",这项由英国癌症研究中心资助的研究发现，接受放射治疗的患者发生尿失禁恶化的可能性是未接受放射治疗的患者的两倍，尿失禁是前列腺癌治疗的主要副作用之一。
"If we can understand how to create and maintain habitable spaces out of hostile, inhospitable spaces here on Earth, perhaps we can meet the needs of both preserving our own environment and moving beyond it.",如果我们能知道如何在地球上 十分恶劣，不宜居住的环境中 创造并维持可居住的空间， 也许我们就能满足既保护我们的环境， 又“走出去”的 双重需求了。
"I wasn't raised in a religious Jewish home, but when I was young, my grandmother used to tell me stories from the Hebrew Bible, and one of them stuck with me and came to define much of what I care about.",我不是生长在一个犹太教的家庭， 但我小的时候， 我的祖母曾经告诉我希伯来圣经的故事。 其中有一个故事我一直记得 并且影响了我对很多重要事情的看法。
"We've discovered antibiotics and vaccines to protect us from infections, many treatments for cancer, antiretrovirals for HIV, statins for heart disease and much more.",我们发明了抗生素和疫苗 来保护我们不受疾病的传染， 开发了许多方法来治疗癌症， 抗逆转录病毒药物来治疗艾滋病， 还有抑制剂药物来对抗心脏疾病等等。
"But they are also notorious for their adverse side effects, but mostly bad, because they get diluted by the time they get to the blood, and worse, by the time they get to the sites where it matters most: within the HIV viral reservoirs.",但其副作用也是非常严重的， 而最大的问题在于， 因为药物进入血液时已经稀释， 到达目标位置时浓度更低。 这里才是最重要的地方： HIV病毒潜伏处。
"Rather than treating the kids in his clinic like patients, Asperger called them his little professors, and enlisted their help in developing methods of education that were particularly suited to them.",在Asperger的诊所里， 他没有把孩子当做病人， 而是把他们叫做小教授们， 并且在教育方法的建立上 寻求他们的帮助， 而这也正是他们所需要的。
"Like, for instance, the hump may be helpful to camels in hotter climes because having all your fat in one place, like a, you know, fat backpack, means that you don't have to have that insulation all over the rest of your body.",就比如说，那些驼峰 可能在炎热地带对骆驼有好处， 因为当你的脂肪堆积在同一处， 你懂的，像一个“脂肪背包”， 意味着你身体的隔热层 不必覆盖全身。
"I held on when I arrived at Yale at 18, with the faith that my journey from Oak Cliff, Texas was a chance to leave behind all the challenges I had known, the broken dreams and broken bodies I had seen.",当我18岁时到耶鲁大学时， 我搜寻着， 我相信从德州的小镇一路走来， 我有机会摆脱一切 我所历经的困苦与艰难， 摆脱那些破碎的梦想、 残疾的躯体。
"We proclaim our liberal values in opposition to fundamentalist Islam, and yet -- we have repressive policies that detain child asylum seekers, that separate children from their families, and that seize property from refugees.",我们声称 我们自由主义的价值观 与伊斯兰原旨派所奉行的相反 然而-- 我们用高压政策 扣押儿童避难寻求者 使孩子与他们的家庭分离 强行没收难民财产
"These are just five of many health-care workers at Kenema and beyond that died while the world waited and while we all worked, quietly and separately.",这只是千千万万医疗卫生工作者中的五人， 他们在凯内马还有其他地方牺牲， 而世界却一直在等待， 我们一直在埋头工作， 人与人都是独立的、毫无交流的。
